unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00192,58.1,0.166,0.1992,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.2853,54.8,0.1179,0.1684,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-1.04195,67.7,0.005274,0.0187,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.01622,54.8,0.1384,0.173,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.04852,61.3,0.0432,0.07946,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,0.00014,50,0.3977,0.4261,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.90401,74.2,0.000137,0.003075,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-1.0483,67.7,0.0005995,0.003556,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.04509,61.3,0.00907,0.01944,*
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.0473,62.9,0.01834,0.03668,*
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,-0.00192,61.3,0.1299,0.1695,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.48642,64.5,0.04503,0.07946,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-1.04195,64.5,0.006235,0.0187,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.00404,54.8,0.208,0.24,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.03588,64.5,0.0695,0.1097,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,0.00042,48.4,0.4665,0.4665,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.90401,69.4,0.0005299,0.003556,**
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-1.0483,69.4,0.0006144,0.003556,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.05056,61.3,0.005802,0.0187,*
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.05361,61.3,0.008733,0.01944,*
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,-0.00192,61.3,0.1299,0.1695,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.55838,58.1,0.0695,0.1097,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.81369,64.5,0.006959,0.01898,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,-0.00404,51.6,0.2433,0.2704,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.05029,61.3,0.07488,0.1123,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,62,0.00042,48.4,0.4526,0.4665,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,62,-0.90401,72.6,0.000205,0.003075,**
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,62,-1.05401,69.4,0.0007113,0.003556,**
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,62,-0.05056,62.9,0.00306,0.01311,*
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,62,-0.0422,62.9,0.007637,0.01909,*
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,88,-0.00048,52.3,0.3037,0.3197,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,88,-0.82472,70.5,4.398e-05,0.0003985,***
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,88,-1.10023,69.3,2.295e-05,0.0003985,***
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,88,-0.0433,60.2,0.003232,0.00808,**
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,88,-0.0422,61.4,0.00274,0.007829,**
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,-0.00465,60,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,0.57193,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,0.16925,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,0.12845,40,,,""
