unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00211,54.8,0.07769,0.1457,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.05583,51.6,0.2685,0.3345,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.68372,64.5,0.01518,0.09006,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.02283,51.6,0.176,0.2475,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.01219,51.6,0.197,0.2686,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,31,-2e-05,54.8,0.3881,0.426,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,31,-0.92944,64.5,0.01011,0.09006,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,31,-0.8263,64.5,0.03202,0.09006,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,31,-0.02454,54.8,0.1518,0.2347,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,31,-0.01143,54.8,0.2253,0.2897,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,31,0.00093,48.4,0.4961,0.5192,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,31,-0.84442,64.5,0.02679,0.09006,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,31,-1.02756,64.5,0.009596,0.09006,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,31,-0.03145,61.3,0.03202,0.09006,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,31,-0.01824,61.3,0.07215,0.1412,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00166,48.4,0.275,0.3345,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.29122,61.3,0.05512,0.124,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.45003,64.5,0.01518,0.09006,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,0.01334,48.4,0.3296,0.3708,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.01219,58.1,0.1428,0.2294,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,31,-0.00101,58.1,0.176,0.2475,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,31,-0.52333,58.1,0.06198,0.1328,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,31,-0.78892,64.5,0.02802,0.09006,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,31,-0.06651,64.5,0.01935,0.09006,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,31,0.00524,45.2,0.2253,0.2897,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,31,-7e-04,51.6,0.4649,0.4981,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,31,-0.84442,61.3,0.02445,0.09006,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,31,-0.99493,64.5,0.007757,0.09006,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,31,-0.02087,54.8,0.1428,0.2294,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,31,-0.05207,64.5,0.0695,0.1412,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,0.00176,45.2,0.3226,0.3708,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.29122,58.1,0.08974,0.1553,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.44381,64.5,0.0256,0.09006,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,0.0441,41.9,0.5195,0.5313,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.00331,51.6,0.295,0.3493,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,31,-0.00243,67.7,0.04887,0.1222,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,31,-0.38002,61.3,0.02029,0.09006,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,31,-0.8263,64.5,0.005578,0.09006,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,31,-0.06651,67.7,0.007757,0.09006,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,31,0.00284,48.4,0.1564,0.2347,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,31,0.00093,45.2,0.6561,0.6561,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low,31,-0.84442,61.3,0.05297,0.124,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low,31,-1.02756,64.5,0.0256,0.09006,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low,31,-0.02162,58.1,0.08974,0.1553,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low,31,-0.06297,67.7,0.04503,0.1192,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Mid,35,-2e-05,51.4,0.2916,0.4085,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Mid,35,-0.05583,51.4,0.286,0.4085,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Mid,35,-0.44381,57.1,0.05514,0.1135,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Mid,35,-0.03919,54.3,0.1569,0.289,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Mid,35,0.00524,48.6,0.286,0.4085,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low,53,-0.00022,52.8,0.3226,0.4085,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low,53,-1.0053,69.8,0.0005974,0.01045,*
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low,53,-1.07766,71.7,0.0002687,0.009403,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low,53,-0.03145,60.4,0.01145,0.04962,*
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low,53,-0.04044,62.3,0.02,0.05832,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,-0.00502,60,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,0.68628,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,0.31641,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,0.0441,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,5,0.02262,40,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Mid,33,0.00166,45.5,0.4644,0.4644,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Mid,33,-0.29122,60.6,0.07391,0.1437,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Mid,33,-0.68372,66.7,0.01276,0.04962,*
