unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00021,50,0.7313,0.8359,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.29147,59.1,0.3365,0.8359,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.82444,77.3,0.05958,0.8359,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.01265,40.9,0.7523,0.8359,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.00432,50,0.4741,0.8359,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,0.00064,41.9,0.8433,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,0.13724,46.5,0.512,0.8359,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.30041,53.5,0.5647,0.8359,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,0.01026,46.5,0.5504,0.8359,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,0.00202,48.8,0.56,0.8359,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00103,40.9,0.8973,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.18197,59.1,0.3017,0.8359,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.60997,68.2,0.2179,0.8359,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,0.00858,45.5,0.6869,0.8359,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.00432,50,0.5517,0.8359,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,0.00031,46.5,0.6961,0.8359,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,0.13724,46.5,0.5457,0.8359,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.33381,58.1,0.3474,0.8359,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,0.01686,44.2,0.6209,0.8359,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,0.00202,48.8,0.579,0.8359,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,0.00103,40.9,0.8788,0.8973,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.27451,59.1,0.2795,0.8359,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.60997,68.2,0.2179,0.8359,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,0.00011,50,0.5259,0.8359,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.00432,50,0.5645,0.8359,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,43,0.00031,46.5,0.725,0.8359,ns
