unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00197,40.9,0.5772,0.6414,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.45487,54.5,0.2085,0.5285,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.71441,63.6,0.07658,0.5285,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.0322,40.9,0.8506,0.8506,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.01302,54.5,0.5645,0.6414,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,-0.00093,60.5,0.1973,0.5285,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,0.14218,46.5,0.4448,0.5801,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.36391,58.1,0.2475,0.5285,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,-0.02749,55.8,0.1509,0.5285,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,0.01013,48.8,0.2791,0.5285,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00059,45.5,0.3247,0.5285,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.16937,50,0.3247,0.5285,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.71441,59.1,0.1571,0.5285,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,0.01041,45.5,0.7821,0.809,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.02862,63.6,0.3484,0.5285,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,-0.00068,58.1,0.3608,0.5285,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,0.08656,48.8,0.3297,0.5285,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.36391,60.5,0.1509,0.5285,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,-0.02055,53.5,0.2216,0.5285,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,0.01232,44.2,0.5169,0.6202,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,0.00059,45.5,0.3247,0.5285,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.16937,50,0.3017,0.5285,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.40592,54.5,0.2375,0.5285,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,0.01041,45.5,0.7625,0.809,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.02862,63.6,0.4355,0.5801,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,43,-0.00068,58.1,0.3608,0.5285,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,43,0.08656,48.8,0.3699,0.5285,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,43,-0.61061,62.8,0.09922,0.5285,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,43,-0.02055,53.5,0.2514,0.5285,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,43,0.01232,44.2,0.4831,0.6039,ns
