unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00018,54.1,0.4699,0.5222,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.65874,64.9,0.03175,0.09381,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.52069,56.8,0.07377,0.1229,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.05723,59.5,0.05659,0.1213,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.01055,54.1,0.2164,0.2951,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00109,57.3,0.04579,0.1057,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-1.03628,66.7,0.001068,0.02104,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-0.93246,65.3,0.002806,0.02104,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.02691,53.3,0.2555,0.3332,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,0.00578,48,0.6132,0.657,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00067,59.5,0.1709,0.2442,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.74153,64.9,0.01182,0.04432,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.52069,62.2,0.03631,0.09381,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.06108,59.5,0.03752,0.09381,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.03061,59.5,0.09467,0.1495,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00109,54.7,0.1068,0.1602,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-0.93145,66.7,0.002672,0.02104,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-0.906,62.7,0.006112,0.03667,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,75,-0.00907,53.3,0.3392,0.3914,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,75,0.02005,45.3,0.7546,0.7806,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00051,56.8,0.3254,0.3905,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-0.74551,64.9,0.01008,0.04321,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-0.56183,62.2,0.02161,0.07204,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,-0.06108,62.2,0.0657,0.1229,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,-0.04436,59.5,0.06193,0.1229,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,75,-0.00128,56,0.0736,0.1229,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,75,-0.83298,66.7,0.002629,0.02104,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,75,-0.84382,62.7,0.007849,0.03925,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,75,-0.00628,52,0.2996,0.3746,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,75,0.02681,45.3,0.8118,0.8118,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,106,-0.00119,58.5,0.02973,0.1109,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,106,-0.94542,67.9,0.0001024,0.003073,**
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,106,-0.88186,65.1,0.0003476,0.004212,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,106,-0.04457,55.7,0.06967,0.1516,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,106,-0.00299,50,0.4473,0.5592,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,6,0.00382,16.7,0.9704,0.9704,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,6,0.37716,33.3,0.7992,0.8562,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,6,0.66036,16.7,0.8527,0.8822,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,6,0.00758,50,0.583,0.6996,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,6,-0.05487,50,0.3375,0.4402,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,104,-0.00105,56.7,0.09264,0.1853,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,104,-0.7935,66.3,0.0004212,0.004212,**
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,104,-0.85077,62.5,0.001559,0.009355,**
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,104,-0.03207,53.8,0.1807,0.2853,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,104,0.01265,47.1,0.6568,0.7578,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,8,-0.00256,50,0.312,0.4255,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,8,-0.93737,62.5,0.117,0.2064,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,8,-0.37981,62.5,0.2206,0.3309,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,8,-0.22204,75,0.05366,0.1464,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,8,-0.20149,87.5,0.07074,0.1516,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,102,-0.00091,55.9,0.1096,0.2056,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,102,-0.74977,65.7,0.0007676,0.005757,**
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,102,-0.83885,61.8,0.003097,0.01549,*
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,102,-0.01799,52.9,0.2565,0.3664,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,102,0.01979,46.1,0.7594,0.8438,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,10,-0.00315,60,0.154,0.2567,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,10,-1.27335,70,0.04157,0.1247,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,10,-0.7302,70,0.06314,0.1516,ns
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,10,-0.24512,80,0.02075,0.08891,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,10,-0.23731,90,0.03327,0.1109,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,29,0.00063,48.3,0.6751,0.7233,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,29,-0.65874,58.6,0.07677,0.1355,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,29,-0.52069,55.2,0.1172,0.185,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,29,-0.05723,55.2,0.1497,0.2138,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,29,-0.00698,51.7,0.2724,0.3406,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Low+Mid,83,-0.00128,59,0.02613,0.06697,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,Low+Mid,83,-0.95939,68.7,0.0004483,0.01345,*
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,Low+Mid,83,-0.906,65.1,0.001482,0.01465,*
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,Low+Mid,83,-0.03723,55.4,0.1306,0.1959,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,Low+Mid,83,0.00453,49.4,0.5389,0.5988,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,Low+Mid,86,-0.00146,57,0.05134,0.09627,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,Low+Mid,86,-0.88221,66.3,0.001149,0.01465,*
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,Low+Mid,86,-0.87491,62.8,0.003894,0.02337,*
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,Low+Mid,86,-0.00767,52.3,0.3256,0.3907,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,Low+Mid,86,0.02693,44.2,0.904,0.904,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,High,26,-0.00035,53.8,0.4696,0.5419,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,High,26,-0.73336,65.4,0.02679,0.06697,ns
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,High,26,-0.50155,61.5,0.04441,0.09516,ns
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,High,26,-0.12422,65.4,0.02525,0.06697,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,High,26,-0.12284,69.2,0.006405,0.03203,*
M1vsM2_12m,natural_breaks,Relative Disturbance,ETmax,Low+Mid,88,-0.00109,55.7,0.08262,0.1377,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,GPPsat,Low+Mid,88,-0.7935,64.8,0.001954,0.01465,*
M1vsM2_12m,natural_breaks,Relative Disturbance,NEPmax,Low+Mid,88,-0.83885,61.4,0.008511,0.03647,*
M1vsM2_12m,natural_breaks,Relative Disturbance,WUE,Low+Mid,88,-0.01799,53.4,0.2429,0.3169,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,uWUE,Low+Mid,88,0.02343,45.5,0.8037,0.8315,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,ETmax,High,24,-0.00084,58.3,0.2331,0.3169,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,GPPsat,High,24,-0.87371,70.8,0.01072,0.04022,*
M1vsM2_12m,natural_breaks,Relative Disturbance,NEPmax,High,24,-0.70978,66.7,0.01664,0.05548,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,WUE,High,24,-0.1374,62.5,0.05021,0.09627,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,uWUE,High,24,-0.09874,66.7,0.03267,0.0754,ns
M1vsM2_24m,tertiles,Absolute Mortality,ETmax,High,37,0.00024,48.6,0.518,0.5756,ns
M1vsM2_24m,tertiles,Absolute Mortality,GPPsat,High,37,-0.41401,64.9,0.04851,0.1213,ns
M1vsM2_24m,tertiles,Absolute Mortality,NEPmax,High,37,-0.54618,64.9,0.0803,0.1698,ns
M1vsM2_24m,tertiles,Absolute Mortality,WUE,High,37,-0.0309,54.1,0.0849,0.1698,ns
M1vsM2_24m,tertiles,Absolute Mortality,uWUE,High,37,-0.00841,51.4,0.3254,0.4438,ns
M1vsM2_24m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00103,60,0.102,0.1913,ns
M1vsM2_24m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-0.97119,66.7,0.001166,0.02751,*
M1vsM2_24m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-1.11424,65.3,0.002306,0.02751,*
M1vsM2_24m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.01055,53.3,0.3747,0.4887,ns
M1vsM2_24m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,-0.00034,50.7,0.6353,0.6807,ns
M1vsM2_24m,tertiles,Relative Mortality,ETmax,High,37,-0.00059,56.8,0.2731,0.3901,ns
M1vsM2_24m,tertiles,Relative Mortality,GPPsat,High,37,-0.81391,67.6,0.008226,0.03487,*
M1vsM2_24m,tertiles,Relative Mortality,NEPmax,High,37,-0.57945,62.2,0.03752,0.1126,ns
M1vsM2_24m,tertiles,Relative Mortality,WUE,High,37,-0.06009,56.8,0.04851,0.1213,ns
M1vsM2_24m,tertiles,Relative Mortality,uWUE,High,37,-0.00514,54.1,0.1991,0.2987,ns
M1vsM2_24m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00062,56,0.1896,0.2987,ns
M1vsM2_24m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-0.78337,65.3,0.004724,0.02751,*
M1vsM2_24m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-0.96544,66.7,0.004442,0.02751,*
M1vsM2_24m,tertiles,Relative Mortality,WUE,Low+Mid,75,-0.01055,52,0.4569,0.5483,ns
M1vsM2_24m,tertiles,Relative Mortality,uWUE,Low+Mid,75,0.00187,49.3,0.7343,0.7579,ns
M1vsM2_24m,tertiles,Relative Disturbance,ETmax,High,37,-1e-05,51.4,0.506,0.5756,ns
M1vsM2_24m,tertiles,Relative Disturbance,GPPsat,High,37,-0.91214,67.6,0.0093,0.03487,*
M1vsM2_24m,tertiles,Relative Disturbance,NEPmax,High,37,-0.66059,62.2,0.02084,0.06948,ns
M1vsM2_24m,tertiles,Relative Disturbance,WUE,High,37,-0.06009,56.8,0.07168,0.1654,ns
M1vsM2_24m,tertiles,Relative Disturbance,uWUE,High,37,-0.01275,54.1,0.1748,0.2913,ns
M1vsM2_24m,tertiles,Relative Disturbance,ETmax,Low+Mid,75,-0.00067,58.7,0.1158,0.2044,ns
