unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-8e-05,51.6,0.6415,0.6873,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.04437,51.6,0.2816,0.384,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.16356,51.6,0.1811,0.3196,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.02165,54.8,0.1428,0.3196,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,0.0062,48.4,0.1811,0.3196,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,0.00034,46.8,0.5363,0.5959,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.68479,67.7,0.004022,0.07408,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.84646,64.5,0.004939,0.07408,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.01749,54.8,0.181,0.3196,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.01786,54.8,0.337,0.4044,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00071,38.7,0.9619,0.9767,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.60746,67.7,0.03972,0.1911,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.52892,54.8,0.05512,0.1911,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.02165,58.1,0.197,0.3283,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,0.01103,48.4,0.295,0.3848,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00079,53.2,0.2351,0.3359,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.36117,59.7,0.04759,0.1911,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.54554,62.9,0.01385,0.1218,ns
